fecha;receta;operador;litros_past;kg_cuba;mg_cuba;mp_cuba;lactosa_cuba;ph_cuajado;ph_inicio_moldeo_cuba;ph_final_moldeo_cuba;formato;ph_inicio_moldeo_queso;ph_inicio_desmoldeo_queso;ph_fin_desmoldeo_queso;tiempo_salado;mg_salida_salmuera;ph_salida_salmuera;EST salida salmuera;peso_queso_total;sal_queso
07/03/2016;receta 02;5.0;11030;11611.01;6.42;4.91;4.08;6.56;6.46;6.4;3 kg;;5.48;5.15;17:40;30.89;5.44;57.96;8705.0;1.9
07/03/2016;receta 03;5.0;12730;13143.61;4.81;3.72;4.3;6.53;6.33;6.18;3 kg;6.16;5.1;4.93;18:15;31.48;5.38;58.13;12124.0;1.43
07/03/2016;receta 15;5.0;7440;7928.12;4.95;3.96;4.14;6.56;6.45;6.38;1 kg;6.35;5.66;;6:30;30.18;5.58;55.25;18746.0;1.85
07/03/2016;receta 32;5.0;8020;8556.05;5.13;3.84;4.1;6.52;6.42;6.36;mini;6.42;5.79;5.51;7:05;;;;2673.0;
07/03/2016;receta 33;6.0;7020;7512.81;6.05;4.78;3.96;6.56;6.45;6.42;mini;6.48;5.8;5.5;6:20;;;;2660.0;
07/03/2016;receta 06;6.0;12330;12909.94;5.64;4.24;4.49;6.5;6.42;6.37;3 kg;6.24;5.76;5.45;18:00;;;;8024.0;
08/03/2016;receta 08;8.0;14330;14928.18;2.5;3.45;4.66;6.54;6.45;6.39;barra 4,2 kg;6.42;5.73;5.38;;20.35;5.53;50.5;19932.5;1.89
08/03/2016;receta 11;8.0;12530;13057.67;4.53;3.76;4.42;6.5;6.4;6.31;3 kg;6.35;5.38;5.22;16:20;30.06;5.44;57.5;20669.0;1.75
08/03/2016;receta 10;8.0;12530;13092.33;4.59;3.68;4.18;6.49;6.38;6.25;barra 4,2 kg;6.3;5.45;5.2;16:10;30.95;5.43;57.32;10586.0;1.43
08/03/2016;receta 09;7.0;10660;11638.92;2.36;3.28;4.34;6.59;6.5;6.47;3 kg;6.44;5.34;5.15;6:00;19.97;5.34;50.26;1210.5;1.95
08/03/2016;receta 07;7.0;11230;11857.9;4.51;3.2;4.24;6.55;6.45;6.38;barra 4,2 kg;6.33;5.47;5.2;17:45;;;;7678.0;
08/03/2016;receta 29;7.0;12030;12187.49;5.17;4.1;4.33;6.52;6.4;6.25;3 kg;6.38;5.27;5.07;15:15;30.17;5.33;56.15;3842.0;1.62
08/03/2016;receta 02;7.0;12330;12985.08;6.51;5.13;4.23;6.54;6.5;6.45;3 kg;;5.55;5.24;18:50;31.68;5.35;59.99;4661.0;1.39
08/03/2016;receta 02;7.0;13780;14231.66;6.26;4.87;4.31;6.52;6.5;6.46;3 kg;6.44;5.23;5.0;15:00;29.7;5.3;56.67;3126.9;1.95
08/03/2016;receta 12;7.0;9030;9608.68;4.96;3.94;4.18;6.53;6.4;6.28;barra 4,2 kg;6.18;5.52;5.33;19:10;;;;3675.0;
08/03/2016;receta 31;7.0;13750;14268.52;6.1;4.74;4.2;6.55;6.46;6.4;barra 4,2 kg;6.4;5.82;5.45;15:40;31.99;5.42;59.78;2656.0;1.32
10/03/2016;receta 18;8.0;9020;9236.88;4.54;3.61;4.23;6.54;6.37;6.29;mini;6.2;5.43;5.19;0:30;31.33;5.37;58.31;6765.0;0.68
10/03/2016;receta 16;8.0;8820;9166.9;4.67;3.73;4.34;6.52;6.37;6.28;barra 3 kg;6.28;5.58;5.22;17:15;32.49;5.6;59.56;14288.0;1.41
10/03/2016;receta 34;8.0;9520;10129.97;2.47;3.34;4.32;6.61;6.45;6.33;;;5.32;5.11;6:00;21.91;5.52;52.18;4144.0;1.81
10/03/2016;receta 03;8.0;9520;9867.21;4.73;3.75;4.39;6.54;6.33;6.19;3 kg;6.3;5.15;4.92;16:05;31.15;5.74;56.86;7573.0;1.89
10/03/2016;receta 24;8.0;9490;10153.85;4.76;3.78;3.87;6.54;6.4;6.36;mini;6.37;;;3:10;29.92;5.98;54.97;1439.0;1.79
10/03/2016;receta 20;8.0;9520;9749.66;4.69;3.24;4.29;6.56;6.45;6.35;mini;6.32;5.47;5.2;4:05;30.46;5.58;55.5;4347.0;1.6
10/03/2016;receta 17;7.0;10020;10403.67;5.23;4.16;4.21;6.54;6.4;6.15;barra 3 kg;6.42;5.25;4.82;;31.28;5.53;57.72;4632.0;1.37
10/03/2016;receta 20;7.0;8720;9359.2;5.06;3.5;4.63;6.53;6.38;6.2;mini;6.2;5.45;;4:15;31.52;5.47;57.5;4814.0;1.47
10/03/2016;receta 30;7.0;8520;8673.36;4.37;3.46;4.0;6.61;6.4;6.22;mini;6.29;5.42;5.08;4:40;;;;3695.0;
11/03/2016;receta 14;5.0;11030;11901.93;6.81;5.26;4.37;6.5;6.42;6.36;barra 4,2 kg;6.4;5.9;5.47;;32.54;5.25;60.31;4468.0;1.12
11/03/2016;receta 02;5.0;12030;12574.71;6.79;5.26;4.36;6.51;6.46;6.4;3 kg;6.4;5.6;5.17;19:10;33.47;5.22;60.8;9256.0;1.25
11/03/2016;receta 31;5.0;9530;10096.48;6.18;4.86;4.29;6.54;6.46;6.4;barra 4,2 kg;6.4;5.85;5.49;12:05;30.57;5.21;57.75;3296.0;1.55
11/03/2016;receta 10;5.0;13530;14050.05;4.68;3.7;4.37;6.55;6.34;6.22;barra 4,2 kg;6.25;5.35;5.09;14:10;30.86;5.32;58.1;9286.0;1.22
