Fecha;Num_Cuba;Lote;FORMATO;PH;ES;MG;SAL
02/01/2016;7;11316;Barra 4,2 kg;5,44;56,73;30,56;1,96
08/06/2016;26;27116;Barra 3 kg;5,42;57,31;31,89;1,34
07/08/2015;12;33015;500 g;5,61;57,89;31,23;1,13
24/02/2016;11;16616;Barra 3 kg;5,44;57,75;32,07;1,28
24/06/2015;28;28615;Barra 3 kg;5,65;56,96;31,09;1,47
17/02/2016;11;15916;Barra 3 kg;5,49;59,47;33,39;1,41
29/12/2015;13;47415;Barra 3 kg;5,58;57,62;32,07;1,49
17/03/2015;15;18715;3 KG;5,5;57,1;31,07;1,51
09/02/2015;19;15115;3 KG;5,42;57,45;31,95;1,8
07/03/2016;26;17816;3 KG;5,38;58,13;31,48;1,43
04/04/2016;7;20616;1 kg;5,47;55,89;29,88;1,69
10/09/2015;16;36415;Barra 3 kg;5,37;56,44;30,65;1,21
14/12/2015;17;45915;3 KG;5,42;58,27;32;1,45
17/04/2015;24;21815;Barra 4,2 kg;5,4;58,12;31,77;1,34
20/04/2016;5;22216;500 g;5,47;57,8;31;1,21
10/08/2015;7;33315;3 KG;5,38;58,11;32,63;1,3
12/11/2015;10;42715;500 g;5,63;57,03;31,24;1,39
17/03/2015;13;18715;Barra 4,2 kg;5,57;58,41;31,7;1,11
07/07/2015;25;29915;Barra 4,2 kg;5,61;58,46;32,27;1,02
29/12/2015;24;47415;Barra 3 kg;5,59;58,39;32,99;1,41
23/03/2015;22;19315;3 KG;5,45;58,28;31,85;1,15
21/05/2015;4;25215;500 g;5,64;57,69;30,7;1,09
08/03/2016;19;17916;Barra 4,2 kg;5,43;57,32;30,95;1,43
04/02/2015;9;14615;Barra 3 kg;5,45;57,66;31,39;1,41
11/01/2016;14;12216;3 KG;5,43;57,73;31,64;1,43
20/04/2015;13;22115;1 kg;NA;NA;NA;NA
03/08/2015;3;32615;Barra 3 kg;5,53;57,87;31,91;1,12
01/06/2015;34;26315;3 KG;5,49;57,18;31,02;1,56
12/04/2016;16;21416;Barra 4,2 kg;5,49;57,02;31,6;1,3
11/03/2016;9;18216;Barra 4,2 kg;5,32;58,1;30,86;1,22
09/02/2015;2;15115;Barra 3 kg;5,44;57,5;31,67;1,25
18/04/2016;15;22016;3 KG;5,45;57,87;30,97;1,76
28/04/2016;10;23016;Barra 3 kg;5,46;58,21;31,74;1,48
17/02/2016;9;15916;Barra 3 kg;5,5;58,11;31,85;1,22
08/10/2015;1;39215;1 kg;5,4;55,93;30,81;1,77
10/03/2016;7;18116;Barra 3 kg;5,74;56,68;30,5;1,45
02/03/2015;9;17215;3 KG;5,38;57,41;31,32;1,35
29/02/2016;16;17116;Barra 3 kg;5,46;57,15;31,24;1,62
21/07/2015;21;31315;Barra 4,2 kg;5,51;56,5;30,5;1,35
29/06/2015;11;29115;1 kg;5,48;58,16;33,04;1,45
07/04/2015;34;20815;Barra 3 kg;5,42;58,14;31,35;1,02
15/04/2015;3;21615;1 kg;5,58;57,5;30,38;1,07
05/03/2015;12;17515;Barra 3 kg;5,42;56,47;30,17;1,18
29/12/2015;18;47415;Barra 3 kg;5,62;57,06;31,32;1,28
30/06/2015;7;29215;Barra 4,2 kg;5,55;57,74;31,57;1,34
16/04/2015;9;21715;Barra 3 kg;5,54;57,75;31,93;0,96
18/11/2015;8;43315;Barra 3 kg;5,47;56,38;31,59;2,01
30/09/2015;30;38415;Barra 3 kg;5,47;56,63;31,65;1,23
26/02/2016;8;16816;Barra 4,2 kg;5,48;59,39;32,54;1,73
13/04/2016;16;21516;Barra 3 kg;5,47;57,75;31,03;1,41
30/05/2016;27;26216;3 KG;5,41;57,9;31,65;1,32
15/07/2015;28;30715;Barra 3 kg;5,61;57,09;31,41;1,42
09/11/2015;9;42415;3 KG;5,44;56,93;31,69;1,29
29/06/2015;10;29115;3 KG;5,55;57,73;31,48;1,63
20/03/2015;4;19015;Barra 4,2 kg;6,28;55,85;29,42;1,5
25/08/2015;11;34815;500 g;5,5;57,55;29,81;1,17
05/02/2015;10;14715;Barra 3 kg;5,49;58,01;32,02;1,59
13/04/2015;6;21415;Barra 4,2 kg;5,5;58,99;31,84;0,63
02/05/2016;20;23416;3 KG;5,4;57,97;32,13;1,7
13/06/2016;17;27616;3 KG;5,44;58,28;32,46;1,13
22/03/2016;20;19316;Barra 3 kg;5,35;58,01;31,7;1,06
28/07/2015;20;32015;Barra 4,2 kg;5,48;58,22;31,93;1,37
01/06/2016;17;26416;Barra 3 kg;5,39;57,7;31,94;1,3
09/05/2016;5;24116;1 kg;5,34;56,74;31,02;1,53
29/06/2015;15;29115;3 KG;5,55;57,01;31,06;1,54
20/01/2016;4;13116;Barra 3 kg;5,51;57,83;33,15;2
03/04/2015;5;20415;Barra 4,2 kg;5,43;58,76;31,77;0,9
21/09/2015;31;37515;3 KG;5,45;58,75;33,75;1,56
12/06/2015;20;27415;Barra 4,2 kg;5,49;57,12;31,67;1,02
27/04/2015;1;22815;3 KG;5,46;56,46;31,32;1,5
18/11/2015;13;43315;Barra 3 kg;5,46;57,65;31,8;1,16
10/09/2015;20;36415;Barra 3 kg;5,39;56,69;30,58;1,42
13/04/2015;21;21415;3 KG;5,41;57,17;31,15;1,31
09/05/2016;28;24116;Barra 3 kg;5,43;57,13;31,89;1,53
17/03/2016;9;18816;Barra 3 kg;5,45;57,52;31,1;1,37
16/03/2015;42;18615;Barra 3 kg;5,5;58,85;31,54;0,95
30/03/2016;3;20116;Barra 3 kg;5,52;57,33;31,18;1,87
02/02/2015;1;14415;3 KG;5,37;57,02;31,89;1,75
04/05/2016;7;23616;500 g;5,41;58,3;31,15;1,25
17/03/2015;24;18715;3 KG;5,45;57,73;31,37;1,36
24/08/2015;13;34715;3 KG;5,39;57,1;31,33;1,51
04/03/2015;5;17415;500 g;5,55;57,99;30,36;0,96
25/05/2016;14;25716;Barra 3 kg;5,56;58,2;31,93;1,51
11/12/2015;4;45615;Barra 4,2 kg;5,23;58,34;32,45;1,98
29/04/2016;38;23116;Barra 4,2 kg;5,31;57,11;30,64;1,24
