fecha;cod_ruta;leche_tipo;leche_kg;leche_temp;leche_acidez;leche_ph;leche_dens;leche_est;leche_mg;leche_prot;leche_lactosa;leche_caseina
14/11/2015;26;VACA;6600;4;15;6,8;1,03;12,6;3,65;3,31;4,9;2,34
14/11/2015;28;VACA;15900;6,4;15;6,8;1,03;13,17;4,1;3,39;4,86;2,44
14/11/2015;25;VACA;10800;7;15;6,79;1,03;13;4,05;3,32;4,79;2,34
14/11/2015;27;VACA;12060;7,2;15;6,82;1,03;12,62;3,8;3,35;4,67;2,36
14/11/2015;32;VACA;26300;1,7;15;6,82;1,03;12,77;3,7;3,43;4,88;2,41
14/11/2015;33;VACA;22640;5,5;15;6,82;1,03;12,26;3,29;3,23;4,99;2,31
15/11/2015;30;VACA;15920;5;15;6,85;1,03;12,51;3,66;3,34;4,72;2,35
15/11/2015;30;VACA;9780;5,1;15;6,86;1,03;12,29;3,52;3,28;4,67;2,28
15/11/2015;22;VACA;24320;6,2;15;6,8;1,03;12,48;3,56;3,25;4,89;2,34
15/11/2015;32;VACA;23440;5,2;15;6,82;1,03;12,25;3,55;3,16;4,68;2,23
15/11/2015;26;VACA;6340;4,2;15;6,78;1,03;12,63;3,65;3,34;4,87;2,4
15/11/2015;25;VACA;10040;6,7;15;6,79;1,03;13,02;4,07;3,31;4,76;2,41
15/11/2015;27;VACA;11980;7,7;15;6,82;1,03;12,6;3,79;3,3;4,76;2,37
16/11/2015;22;VACA;24700;5,8;15;6,81;1,03;12,47;3,55;3,25;4,91;2,34
16/11/2015;24;VACA;15380;6,6;15;6,85;1,03;12,28;3,51;3,29;4,71;2,31
16/11/2015;24;VACA;7200;5;15;6,8;1,03;12,59;3,77;3,21;4,75;2,26
16/11/2015;32;VACA;26440;3;15;6,81;1,03;12,66;3,62;3,4;4,88;2,4
16/11/2015;28;VACA;15920;6,6;15;6,8;1,03;13,2;4,08;3,43;4,91;2,51
16/11/2015;26;VACA;6300;4,6;15;6,78;1,03;12,51;3,58;3,31;4,83;2,36
16/11/2015;29;VACA;15940;6;15;6,84;1,03;12,1;3,44;3,2;4,63;2,18
16/11/2015;29;VACA;13780;5,8;15;6,81;1,03;12,3;3,48;3,35;4,66;2,32
16/11/2015;33;VACA;22780;5,5;15;6,82;1,03;12,26;3,27;3,26;4,98;2,32
16/11/2015;25;VACA;11200;5,6;15;6,8;1,03;13,09;4,13;3,32;4,8;2,37
16/11/2015;27;VACA;12160;7;15;6,81;1,03;12,62;3,79;3,35;4,72;2,36
16/11/2015;18;VACA;25660;5,5;15;6,83;1,03;12,85;3,7;3,55;4,86;2,53
17/11/2015;22;VACA;24740;5,6;15;6,8;1,03;12,43;3,5;3,26;4,92;2,33
17/11/2015;30;VACA;25800;4;15;6,86;1,03;12,27;3,49;3,31;4,67;2,28
17/11/2015;29;VACA;15880;8,5;15;6,75;1,03;12,09;3,34;3,17;4,75;2,2
17/11/2015;29;VACA;9260;5,5;15;6,81;1,03;12,1;3,32;3,14;4,81;2,19
17/11/2015;26;VACA;6040;4;16;6,79;1,03;12,47;3,55;3,32;4,84;2,35
17/11/2015;32;VACA;24180;4,5;15;6,8;1,03;12,25;3,56;3,18;4,66;2,2
17/11/2015;24;VACA;20280;6,5;15;6,8;1,03;12,56;3,69;3,25;4,77;2,3
17/11/2015;25;VACA;10900;6,6;15;6,8;1,03;13,06;4,07;3,34;4,79;2,38
17/11/2015;27;VACA;13240;7,5;15;6,82;1,03;12,7;3,84;3,29;4,8;2,34
17/11/2015;18;VACA;25780;5,7;15;6,81;1,03;13;3,85;3,51;4,87;2,5
18/11/2015;22;VACA;25400;5,7;16;6,82;1,03;12,45;3,52;3,26;4,88;2,31
18/11/2015;24;VACA;13040;7,1;15;6,82;1,03;12,14;3,52;3,21;4,61;2,21
18/11/2015;24;VACA;7480;4;16;6,78;1,03;12,53;3,77;3,15;4,73;2,18
